item,itemLabel,minister,ministerLabel
Q55698525,Department of Economic Planning and Development,,
Q39075587,Ministry of Communications,Q108884078,Minister of Communications of Brunei
Q59832856,"Ministry of Culture, Youth and Sports",,
Q61113985,Ministry of Defence,Q108797908,Minister of Defence of Brunei
Q48165928,Ministry of Development,,
Q39075569,Ministry of Education,,
Q55841339,Ministry of Energy (Energy and Manpower) and Industry,Q112974310,Minister of Energy (Energy and Manpower) and Industry
Q104867659,Ministry of Finance and Economy,Q108884004,Minister of Finance of Brunei
Q6867063,Ministry of Foreign Affairs,Q108884010,Minister of Foreign Affairs of Brunei
Q50824964,Ministry of Home Affairs of Brunei,Q108874929,Minister of Home Affairs of Brunei
Q48166788,Ministry of Primary Resources and Tourism,,
Q19646292,Ministry of Religious Affairs,,
